X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-84.238431,42.063898,0,0,138,300,2022/05/21 11:22:24+00,,,,,,,,,,,,,,,,,,,,,
-84.238494,42.06391,0,0,139,294,2022/05/21 11:22:34+00,,,,,,,,,,,,,,,,,,,,,
-84.238557,42.063895,0,0,140,301,2022/05/21 11:22:45+00,,,,,,,,,,,,,,,,,,,,,
-84.238639,42.063835,0,0,141,302,2022/05/21 11:22:53+00,,,,,,,,,,,,,,,,,,,,,
-84.238777,42.063838,0,0,142,300,2022/05/21 11:23:02+00,,,,,,,,,,,,,,,,,,,,,
-84.238838,42.063808,0,0,143,300,2022/05/21 11:23:07+00,,,,,,,,,,,,,,,,,,,,,
-84.238882,42.063802,0,0,144,300,2022/05/21 11:23:10+00,,,,,,,,,,,,,,,,,,,,,
-84.239106,42.063839,0,0,145,300,2022/05/21 11:23:24+00,,,,,,,,,,,,,,,,,,,,,
-84.239223,42.063842,0,0,146,300,2022/05/21 11:23:32+00,,,,,,,,,,,,,,,,,,,,,
-84.239299,42.063871,0,0,147,300,2022/05/21 11:23:38+00,,,,,,,,,,,,,,,,,,,,,
-84.239428,42.063886,0,0,148,302,2022/05/21 11:23:47+00,,,,,,,,,,,,,,,,,,,,,
-84.239582,42.063985,0,0,149,302,2022/05/21 11:23:59+00,,,,,,,,,,,,,,,,,,,,,
-84.239751,42.063997,0,0,150,302,2022/05/21 11:24:10+00,,,,,,,,,,,,,,,,,,,,,
-84.239783,42.064009,0,0,151,300,2022/05/21 11:24:13+00,,,,,,,,,,,,,,,,,,,,,
-84.239885,42.064077,0,0,152,302,2022/05/21 11:24:22+00,,,,,,,,,,,,,,,,,,,,,
-84.239966,42.064103,0,0,153,303,2022/05/21 11:24:28+00,,,,,,,,,,,,,,,,,,,,,
-84.240259,42.064163,0,0,154,303,2022/05/21 11:24:48+00,,,,,,,,,,,,,,,,,,,,,
-84.240636,42.064295,0,0,155,303,2022/05/21 11:25:15+00,,,,,,,,,,,,,,,,,,,,,
-84.240889,42.06442,0,0,156,302,2022/05/21 11:25:34+00,,,,,,,,,,,,,,,,,,,,,
-84.240965,42.064439,0,0,157,302,2022/05/21 11:25:39+00,,,,,,,,,,,,,,,,,,,,,
-84.241109,42.06443,0,0,158,302,2022/05/21 11:25:48+00,,,,,,,,,,,,,,,,,,,,,
-84.241254,42.064371,0,0,159,303,2022/05/21 11:25:59+00,,,,,,,,,,,,,,,,,,,,,
-84.241294,42.064365,0,0,160,303,2022/05/21 11:26:02+00,,,,,,,,,,,,,,,,,,,,,
-84.241329,42.064383,0,0,161,303,2022/05/21 11:26:05+00,,,,,,,,,,,,,,,,,,,,,
-84.241334,42.064418,0,0,162,304,2022/05/21 11:26:07+00,,,,,,,,,,,,,,,,,,,,,
-84.241309,42.06444,0,0,163,304,2022/05/21 11:26:09+00,,,,,,,,,,,,,,,,,,,,,
-84.241163,42.064512,0,0,164,304,2022/05/21 11:26:19+00,,,,,,,,,,,,,,,,,,,,,
-84.241106,42.064561,0,0,165,303,2022/05/21 11:26:25+00,,,,,,,,,,,,,,,,,,,,,
-84.24107,42.06474,0,0,166,303,2022/05/21 11:26:40+00,,,,,,,,,,,,,,,,,,,,,
-84.24098,42.064823,0,0,167,303,2022/05/21 11:26:49+00,,,,,,,,,,,,,,,,,,,,,
-84.240872,42.064892,0,0,168,303,2022/05/21 11:26:58+00,,,,,,,,,,,,,,,,,,,,,
-84.240803,42.065041,0,0,169,303,2022/05/21 11:27:11+00,,,,,,,,,,,,,,,,,,,,,
-84.240739,42.06506,0,0,170,304,2022/05/21 11:27:15+00,,,,,,,,,,,,,,,,,,,,,
-84.240672,42.065099,0,0,171,303,2022/05/21 11:27:21+00,,,,,,,,,,,,,,,,,,,,,
-84.240649,42.06513,0,0,172,303,2022/05/21 11:27:24+00,,,,,,,,,,,,,,,,,,,,,
-84.240631,42.065202,0,0,173,303,2022/05/21 11:27:30+00,,,,,,,,,,,,,,,,,,,,,
-84.240607,42.065229,0,0,174,303,2022/05/21 11:27:33+00,,,,,,,,,,,,,,,,,,,,,
-84.240527,42.065246,0,0,175,303,2022/05/21 11:27:39+00,,,,,,,,,,,,,,,,,,,,,
-84.240492,42.065265,0,0,176,303,2022/05/21 11:27:42+00,,,,,,,,,,,,,,,,,,,,,
-84.24045,42.065327,0,0,177,303,2022/05/21 11:27:48+00,,,,,,,,,,,,,,,,,,,,,
-84.24023,42.065382,0,0,178,303,2022/05/21 11:28:04+00,,,,,,,,,,,,,,,,,,,,,
-84.240139,42.065464,0,0,179,303,2022/05/21 11:28:13+00,,,,,,,,,,,,,,,,,,,,,
-84.24004,42.06552,0,0,180,302,2022/05/21 11:28:20+00,,,,,,,,,,,,,,,,,,,,,
-84.239827,42.065542,0,0,181,303,2022/05/21 11:28:34+00,,,,,,,,,,,,,,,,,,,,,
-84.239764,42.065562,0,0,182,304,2022/05/21 11:28:38+00,,,,,,,,,,,,,,,,,,,,,
-84.239713,42.065601,0,0,183,304,2022/05/21 11:28:43+00,,,,,,,,,,,,,,,,,,,,,
-84.239717,42.065653,0,0,184,303.9,2022/05/21 11:28:48+00,,,,,,,,,,,,,,,,,,,,,
-84.23964,42.065711,0,0,185,302,2022/05/21 11:28:55+00,,,,,,,,,,,,,,,,,,,,,
-84.239655,42.065739,0,0,186,303,2022/05/21 11:28:58+00,,,,,,,,,,,,,,,,,,,,,
-84.239683,42.065758,0,0,187,303,2022/05/21 11:29:01+00,,,,,,,,,,,,,,,,,,,,,
-84.239757,42.06584,0,0,188,303,2022/05/21 11:29:10+00,,,,,,,,,,,,,,,,,,,,,
-84.239771,42.065875,0,0,189,303,2022/05/21 11:29:13+00,,,,,,,,,,,,,,,,,,,,,
-84.239777,42.065944,0,0,190,303,2022/05/21 11:29:19+00,,,,,,,,,,,,,,,,,,,,,
-84.239816,42.066046,0,0,191,303,2022/05/21 11:29:28+00,,,,,,,,,,,,,,,,,,,,,
-84.239945,42.066128,0,0,192,302,2022/05/21 11:29:38+00,,,,,,,,,,,,,,,,,,,,,
-84.239962,42.066157,0,0,193,303,2022/05/21 11:29:41+00,,,,,,,,,,,,,,,,,,,,,
-84.23997,42.066232,0,0,194,303,2022/05/21 11:29:47+00,,,,,,,,,,,,,,,,,,,,,
-84.239992,42.066268,0,0,195,303,2022/05/21 11:29:50+00,,,,,,,,,,,,,,,,,,,,,
-84.240023,42.066286,0,0,196,302,2022/05/21 11:29:52+00,,,,,,,,,,,,,,,,,,,,,
-84.240091,42.066298,0,0,197,303,2022/05/21 11:29:57+00,,,,,,,,,,,,,,,,,,,,,
-84.240128,42.066318,0,0,198,303,2022/05/21 11:30:00+00,,,,,,,,,,,,,,,,,,,,,
-84.24015,42.066347,0,0,199,303,2022/05/21 11:30:03+00,,,,,,,,,,,,,,,,,,,,,
-84.240159,42.066419,0,0,200,303,2022/05/21 11:30:09+00,,,,,,,,,,,,,,,,,,,,,
-84.24019,42.066448,0,0,201,303,2022/05/21 11:30:12+00,,,,,,,,,,,,,,,,,,,,,
-84.240297,42.066458,0,0,202,303,2022/05/21 11:30:19+00,,,,,,,,,,,,,,,,,,,,,
-84.240347,42.066481,0,0,203,304.5,2022/05/21 11:30:23+00,,,,,,,,,,,,,,,,,,,,,
-84.240391,42.066571,0,0,204,300,2022/05/21 11:30:33+00,,,,,,,,,,,,,,,,,,,,,
-84.240423,42.066593,0,0,205,303,2022/05/21 11:30:37+00,,,,,,,,,,,,,,,,,,,,,
-84.240565,42.066641,0,0,206,303,2022/05/21 11:30:47+00,,,,,,,,,,,,,,,,,,,,,
-84.240591,42.066672,0,0,207,304,2022/05/21 11:30:50+00,,,,,,,,,,,,,,,,,,,,,
-84.240601,42.066707,0,0,208,303,2022/05/21 11:30:54+00,,,,,,,,,,,,,,,,,,,,,
-84.240578,42.066782,0,0,209,303,2022/05/21 11:31:00+00,,,,,,,,,,,,,,,,,,,,,
-84.240597,42.066845,0,0,210,304,2022/05/21 11:31:06+00,,,,,,,,,,,,,,,,,,,,,
-84.24058,42.066913,0,0,211,304,2022/05/21 11:31:13+00,,,,,,,,,,,,,,,,,,,,,
-84.240519,42.066965,0,0,212,304,2022/05/21 11:31:18+00,,,,,,,,,,,,,,,,,,,,,
-84.240505,42.066992,0,0,213,303,2022/05/21 11:31:21+00,,,,,,,,,,,,,,,,,,,,,
-84.240487,42.067098,0,0,214,303,2022/05/21 11:31:44+00,,,,,,,,,,,,,,,,,,,,,
-84.240427,42.067243,0,0,215,303,2022/05/21 11:31:55+00,,,,,,,,,,,,,,,,,,,,,
-84.24046,42.067387,0,0,216,304.6,2022/05/21 11:32:07+00,,,,,,,,,,,,,,,,,,,,,
